423799,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513764968,095e43,200
fd62a7,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513764968,095e43,200
095e43,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513764968,,200
7dd090,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_profiler,1513764973,,301
02afa8,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513764991,4f71d0,200
393872,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513764991,4f71d0,200
4f71d0,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/categorie/business,1513764991,,200
e4cbdb,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/categorie/business/_profiler,1513764993,,404
6f1d10,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_profiler/categorie/business/,1513765001,,404
5fb6df,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765008,9911cd,200
61ddbf,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765008,9911cd,200
9911cd,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765008,,200
f59c6e,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/admin/article/ajouter,1513765028,,200
b8917a,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/admin/article/ajoutev,1513765032,,404
3dd80f,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765074,718b36,200
4e9df1,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765074,718b36,200
718b36,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765074,,200
d83f4c,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765170,a857dc,200
ddfc30,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765170,a857dc,200
a857dc,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765170,,200
aadab7,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765180,2ef726,200
042a65,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765180,2ef726,200
2ef726,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765180,,200
4450ed,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765428,dcdf66,200
dbf860,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765428,dcdf66,200
dcdf66,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765428,,200
fc7861,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765447,400af2,200
ecab41,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765447,400af2,200
400af2,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/categorie/business,1513765447,,200
5ee43f,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765453,15e5b2,200
7f1a06,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765453,15e5b2,200
15e5b2,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765453,,200
bac99e,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/deconnexion.html,1513765460,,302
4f8e05,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765461,540b03,200
4bb0be,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Asidebar,1513765461,540b03,200
540b03,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/,1513765461,,200
34a05f,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/admin/article/ajouter,1513765471,,302
9caa5d,127.0.0.1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/_fragment?_path=_format%3Dhtml%26_locale%3Den%26_controller%3DTechNews%255CController%255CNewsController%253A%253Amenu,1513765472,7d0502,200
7d0502,::1,GET,http://localhost/FORMATION/DENAIN/WF3-DENAIN/04-SILEX/public/connexion.html,1513765472,,200
